Id,GeoID,Geography,Estimate; Total,Margin of Error; Total
1500000US060371061132,060371061132,"Block Group 2, Census Tract 1061.13, Los Angeles County, California",1866,302
1500000US060371061141,060371061141,"Block Group 1, Census Tract 1061.14, Los Angeles County, California",4085,512
1500000US060371061142,060371061142,"Block Group 2, Census Tract 1061.14, Los Angeles County, California",1477,431
1500000US060371064031,060371064031,"Block Group 1, Census Tract 1064.03, Los Angeles County, California",865,331
1500000US060371064032,060371064032,"Block Group 2, Census Tract 1064.03, Los Angeles County, California",1324,490
1500000US060371064033,060371064033,"Block Group 3, Census Tract 1064.03, Los Angeles County, California",959,349
1500000US060371064051,060371064051,"Block Group 1, Census Tract 1064.05, Los Angeles County, California",1514,417
1500000US060371064052,060371064052,"Block Group 2, Census Tract 1064.05, Los Angeles County, California",986,387
1500000US060371064053,060371064053,"Block Group 3, Census Tract 1064.05, Los Angeles County, California",702,222
1500000US060371064061,060371064061,"Block Group 1, Census Tract 1064.06, Los Angeles County, California",3166,789
1500000US060371064062,060371064062,"Block Group 2, Census Tract 1064.06, Los Angeles County, California",553,360
1500000US060371064063,060371064063,"Block Group 3, Census Tract 1064.06, Los Angeles County, California",1323,434
1500000US060371064071,060371064071,"Block Group 1, Census Tract 1064.07, Los Angeles County, California",1542,306
1500000US060371064072,060371064072,"Block Group 2, Census Tract 1064.07, Los Angeles County, California",1130,341
1500000US060371064081,060371064081,"Block Group 1, Census Tract 1064.08, Los Angeles County, California",3123,353
1500000US060371064082,060371064082,"Block Group 2, Census Tract 1064.08, Los Angeles County, California",660,393
1500000US060371065101,060371065101,"Block Group 1, Census Tract 1065.10, Los Angeles County, California",1733,331
1500000US060371065102,060371065102,"Block Group 2, Census Tract 1065.10, Los Angeles County, California",1732,576
1500000US060371065103,060371065103,"Block Group 3, Census Tract 1065.10, Los Angeles County, California",1555,343
1500000US060371065201,060371065201,"Block Group 1, Census Tract 1065.20, Los Angeles County, California",1937,387
1500000US060371065202,060371065202,"Block Group 2, Census Tract 1065.20, Los Angeles County, California",1468,381
1500000US060371065203,060371065203,"Block Group 3, Census Tract 1065.20, Los Angeles County, California",1892,542
1500000US060371066031,060371066031,"Block Group 1, Census Tract 1066.03, Los Angeles County, California",1749,216
1500000US060371066032,060371066032,"Block Group 2, Census Tract 1066.03, Los Angeles County, California",1451,214
1500000US060371066041,060371066041,"Block Group 1, Census Tract 1066.04, Los Angeles County, California",223,176
1500000US060371066042,060371066042,"Block Group 2, Census Tract 1066.04, Los Angeles County, California",2211,454
1500000US060371066043,060371066043,"Block Group 3, Census Tract 1066.04, Los Angeles County, California",718,297
1500000US060371066044,060371066044,"Block Group 4, Census Tract 1066.04, Los Angeles County, California",1497,374
1500000US060371066411,060371066411,"Block Group 1, Census Tract 1066.41, Los Angeles County, California",2127,184
1500000US060371066421,060371066421,"Block Group 1, Census Tract 1066.42, Los Angeles County, California",1273,331
1500000US060371066422,060371066422,"Block Group 2, Census Tract 1066.42, Los Angeles County, California",967,240
1500000US060371066423,060371066423,"Block Group 3, Census Tract 1066.42, Los Angeles County, California",1237,322
1500000US060371066431,060371066431,"Block Group 1, Census Tract 1066.43, Los Angeles County, California",3028,410
1500000US060371066432,060371066432,"Block Group 2, Census Tract 1066.43, Los Angeles County, California",679,235
1500000US060371066433,060371066433,"Block Group 3, Census Tract 1066.43, Los Angeles County, California",626,172
1500000US060371066451,060371066451,"Block Group 1, Census Tract 1066.45, Los Angeles County, California",1179,249
1500000US060371066452,060371066452,"Block Group 2, Census Tract 1066.45, Los Angeles County, California",2308,320
1500000US060371066461,060371066461,"Block Group 1, Census Tract 1066.46, Los Angeles County, California",2042,272
1500000US060371066462,060371066462,"Block Group 2, Census Tract 1066.46, Los Angeles County, California",1578,337
1500000US060371066481,060371066481,"Block Group 1, Census Tract 1066.48, Los Angeles County, California",3150,657
1500000US060371066482,060371066482,"Block Group 2, Census Tract 1066.48, Los Angeles County, California",1245,314
1500000US060371066491,060371066491,"Block Group 1, Census Tract 1066.49, Los Angeles County, California",756,268
1500000US060371066492,060371066492,"Block Group 2, Census Tract 1066.49, Los Angeles County, California",1945,369
1500000US060371070101,060371070101,"Block Group 1, Census Tract 1070.10, Los Angeles County, California",3175,440
1500000US060371070201,060371070201,"Block Group 1, Census Tract 1070.20, Los Angeles County, California",4301,659
1500000US060371070202,060371070202,"Block Group 2, Census Tract 1070.20, Los Angeles County, California",1078,269
1500000US060371081011,060371081011,"Block Group 1, Census Tract 1081.01, Los Angeles County, California",2307,183
1500000US060371081021,060371081021,"Block Group 1, Census Tract 1081.02, Los Angeles County, California",3772,332
1500000US060371081031,060371081031,"Block Group 1, Census Tract 1081.03, Los Angeles County, California",1534,315
1500000US060371081032,060371081032,"Block Group 2, Census Tract 1081.03, Los Angeles County, California",1766,283
1500000US060371081041,060371081041,"Block Group 1, Census Tract 1081.04, Los Angeles County, California",1870,164
1500000US060371082011,060371082011,"Block Group 1, Census Tract 1082.01, Los Angeles County, California",2028,350
1500000US060371082012,060371082012,"Block Group 2, Census Tract 1082.01, Los Angeles County, California",3554,392
1500000US060371082021,060371082021,"Block Group 1, Census Tract 1082.02, Los Angeles County, California",5579,434
1500000US060371091001,060371091001,"Block Group 1, Census Tract 1091, Los Angeles County, California",843,261
1500000US060371091002,060371091002,"Block Group 2, Census Tract 1091, Los Angeles County, California",1604,270
1500000US060371092001,060371092001,"Block Group 1, Census Tract 1092, Los Angeles County, California",747,269
1500000US060371092002,060371092002,"Block Group 2, Census Tract 1092, Los Angeles County, California",1113,376
1500000US060371092003,060371092003,"Block Group 3, Census Tract 1092, Los Angeles County, California",896,235
1500000US060371093001,060371093001,"Block Group 1, Census Tract 1093, Los Angeles County, California",893,263
1500000US060371093002,060371093002,"Block Group 2, Census Tract 1093, Los Angeles County, California",1607,327
1500000US060371093003,060371093003,"Block Group 3, Census Tract 1093, Los Angeles County, California",886,247
1500000US060371094001,060371094001,"Block Group 1, Census Tract 1094, Los Angeles County, California",932,228
1500000US060371094002,060371094002,"Block Group 2, Census Tract 1094, Los Angeles County, California",1165,291
1500000US060371094003,060371094003,"Block Group 3, Census Tract 1094, Los Angeles County, California",1615,464
1500000US060371095001,060371095001,"Block Group 1, Census Tract 1095, Los Angeles County, California",1199,359
1500000US060371095002,060371095002,"Block Group 2, Census Tract 1095, Los Angeles County, California",2599,747
1500000US060371095003,060371095003,"Block Group 3, Census Tract 1095, Los Angeles County, California",967,274
1500000US060371096011,060371096011,"Block Group 1, Census Tract 1096.01, Los Angeles County, California",1335,541
1500000US060371096012,060371096012,"Block Group 2, Census Tract 1096.01, Los Angeles County, California",964,413
1500000US060371096013,060371096013,"Block Group 3, Census Tract 1096.01, Los Angeles County, California",1547,603
1500000US060371096014,060371096014,"Block Group 4, Census Tract 1096.01, Los Angeles County, California",1364,406
1500000US060371096031,060371096031,"Block Group 1, Census Tract 1096.03, Los Angeles County, California",1057,275
1500000US060371096032,060371096032,"Block Group 2, Census Tract 1096.03, Los Angeles County, California",1480,350
1500000US060371096033,060371096033,"Block Group 3, Census Tract 1096.03, Los Angeles County, California",1373,264
1500000US060371096041,060371096041,"Block Group 1, Census Tract 1096.04, Los Angeles County, California",954,212
1500000US060371096042,060371096042,"Block Group 2, Census Tract 1096.04, Los Angeles County, California",1173,255
1500000US060371096043,060371096043,"Block Group 3, Census Tract 1096.04, Los Angeles County, California",848,265
1500000US060371097001,060371097001,"Block Group 1, Census Tract 1097, Los Angeles County, California",1535,317
1500000US060371097002,060371097002,"Block Group 2, Census Tract 1097, Los Angeles County, California",2003,484
1500000US060371097003,060371097003,"Block Group 3, Census Tract 1097, Los Angeles County, California",917,251
1500000US060371098001,060371098001,"Block Group 1, Census Tract 1098, Los Angeles County, California",1252,325
1500000US060371098002,060371098002,"Block Group 2, Census Tract 1098, Los Angeles County, California",851,313
1500000US060371098003,060371098003,"Block Group 3, Census Tract 1098, Los Angeles County, California",964,314
1500000US060371098004,060371098004,"Block Group 4, Census Tract 1098, Los Angeles County, California",1246,312
1500000US060371111001,060371111001,"Block Group 1, Census Tract 1111, Los Angeles County, California",1416,355
1500000US060371111002,060371111002,"Block Group 2, Census Tract 1111, Los Angeles County, California",1638,326
1500000US060371112011,060371112011,"Block Group 1, Census Tract 1112.01, Los Angeles County, California",1079,293
1500000US060371112012,060371112012,"Block Group 2, Census Tract 1112.01, Los Angeles County, California",1283,233
1500000US060371112013,060371112013,"Block Group 3, Census Tract 1112.01, Los Angeles County, California",829,359
1500000US060371112021,060371112021,"Block Group 1, Census Tract 1112.02, Los Angeles County, California",1411,416
1500000US060371112022,060371112022,"Block Group 2, Census Tract 1112.02, Los Angeles County, California",1555,365
1500000US060371112023,060371112023,"Block Group 3, Census Tract 1112.02, Los Angeles County, California",2347,418
1500000US060371112041,060371112041,"Block Group 1, Census Tract 1112.04, Los Angeles County, California",2527,407
1500000US060371112042,060371112042,"Block Group 2, Census Tract 1112.04, Los Angeles County, California",2314,454
1500000US060371112043,060371112043,"Block Group 3, Census Tract 1112.04, Los Angeles County, California",1242,283
1500000US060371112051,060371112051,"Block Group 1, Census Tract 1112.05, Los Angeles County, California",1696,320
1500000US060371112052,060371112052,"Block Group 2, Census Tract 1112.05, Los Angeles County, California",703,316
1500000US060371112053,060371112053,"Block Group 3, Census Tract 1112.05, Los Angeles County, California",1464,275
1500000US060371112061,060371112061,"Block Group 1, Census Tract 1112.06, Los Angeles County, California",1065,285
1500000US060371112062,060371112062,"Block Group 2, Census Tract 1112.06, Los Angeles County, California",573,257
1500000US060371112063,060371112063,"Block Group 3, Census Tract 1112.06, Los Angeles County, California",494,206
1500000US060371112064,060371112064,"Block Group 4, Census Tract 1112.06, Los Angeles County, California",1007,323
1500000US060371112065,060371112065,"Block Group 5, Census Tract 1112.06, Los Angeles County, California",1513,404
1500000US060371113011,060371113011,"Block Group 1, Census Tract 1113.01, Los Angeles County, California",1521,467
1500000US060371113012,060371113012,"Block Group 2, Census Tract 1113.01, Los Angeles County, California",1662,367
1500000US060371113013,060371113013,"Block Group 3, Census Tract 1113.01, Los Angeles County, California",2787,607
1500000US060371113014,060371113014,"Block Group 4, Census Tract 1113.01, Los Angeles County, California",1630,462
1500000US060371113021,060371113021,"Block Group 1, Census Tract 1113.02, Los Angeles County, California",1052,229
1500000US060371113022,060371113022,"Block Group 2, Census Tract 1113.02, Los Angeles County, California",3710,357
1500000US060371114001,060371114001,"Block Group 1, Census Tract 1114, Los Angeles County, California",3154,716
1500000US060371114002,060371114002,"Block Group 2, Census Tract 1114, Los Angeles County, California",2150,516
1500000US060371114003,060371114003,"Block Group 3, Census Tract 1114, Los Angeles County, California",2745,737
1500000US060371131011,060371131011,"Block Group 1, Census Tract 1131.01, Los Angeles County, California",1956,405
1500000US060371131012,060371131012,"Block Group 2, Census Tract 1131.01, Los Angeles County, California",1905,431
1500000US060371131021,060371131021,"Block Group 1, Census Tract 1131.02, Los Angeles County, California",1644,276
1500000US060371131022,060371131022,"Block Group 2, Census Tract 1131.02, Los Angeles County, California",1301,249
1500000US060371132111,060371132111,"Block Group 1, Census Tract 1132.11, Los Angeles County, California",1531,303
1500000US060371132112,060371132112,"Block Group 2, Census Tract 1132.11, Los Angeles County, California",2554,354
1500000US060371132121,060371132121,"Block Group 1, Census Tract 1132.12, Los Angeles County, California",1311,275
1500000US060371132122,060371132122,"Block Group 2, Census Tract 1132.12, Los Angeles County, California",1870,349
1500000US060371132131,060371132131,"Block Group 1, Census Tract 1132.13, Los Angeles County, California",2369,374
