GEOID,SUMLEVEL,SUMLEVEL,ST,COUNTY,BLKGRP,B01003_001E,Total,WhiteAlone,BlackOrAfricanAmerican,AmericanIndian,AsianAlone,NativeHawiian,OtherRaceAlone,TwoOrMore,COMPONENT,NAME,STUSAB,BTTR,BTBG,TRACT
15000US060371014003,150,150,6,37,3,1388,1388,935,69,17,192,0,92,83,0,"Block Group 3, Census Tract 1014, Los Angeles County, California",CA,null,null,101400
15000US060371021031,150,150,6,37,1,1755,1755,1539,0,13,99,0,43,61,0,"Block Group 1, Census Tract 1021.03, Los Angeles County, California",CA,null,null,102103
15000US060371021041,150,150,6,37,1,2154,2154,1740,51,0,299,0,35,29,0,"Block Group 1, Census Tract 1021.04, Los Angeles County, California",CA,null,null,102104
15000US060371021042,150,150,6,37,2,1072,1072,838,0,0,183,0,0,51,0,"Block Group 2, Census Tract 1021.04, Los Angeles County, California",CA,null,null,102104
15000US060371021051,150,150,6,37,1,944,944,756,0,0,4,0,116,68,0,"Block Group 1, Census Tract 1021.05, Los Angeles County, California",CA,null,null,102105
15000US060371021052,150,150,6,37,2,903,903,677,0,0,83,0,122,21,0,"Block Group 2, Census Tract 1021.05, Los Angeles County, California",CA,null,null,102105
15000US060371021071,150,150,6,37,1,2298,2298,1841,84,0,102,17,186,68,0,"Block Group 1, Census Tract 1021.07, Los Angeles County, California",CA,null,null,102107
15000US060371021072,150,150,6,37,2,1244,1244,979,10,0,240,0,10,5,0,"Block Group 2, Census Tract 1021.07, Los Angeles County, California",CA,null,null,102107
15000US060371031011,150,150,6,37,1,1778,1778,1410,4,0,194,15,155,0,0,"Block Group 1, Census Tract 1031.01, Los Angeles County, California",CA,null,null,103101
15000US060371031012,150,150,6,37,2,1008,1008,866,3,0,103,0,15,21,0,"Block Group 2, Census Tract 1031.01, Los Angeles County, California",CA,null,null,103101
15000US060371031021,150,150,6,37,1,1309,1309,1077,0,0,207,0,0,25,0,"Block Group 1, Census Tract 1031.02, Los Angeles County, California",CA,null,null,103102
15000US060371031022,150,150,6,37,2,781,781,691,24,0,0,0,66,0,0,"Block Group 2, Census Tract 1031.02, Los Angeles County, California",CA,null,null,103102
15000US060371031023,150,150,6,37,3,1299,1299,1038,0,0,72,0,144,45,0,"Block Group 3, Census Tract 1031.02, Los Angeles County, California",CA,null,null,103102
15000US060371031024,150,150,6,37,4,743,743,470,8,14,44,0,173,34,0,"Block Group 4, Census Tract 1031.02, Los Angeles County, California",CA,null,null,103102
15000US060371031025,150,150,6,37,5,982,982,623,0,0,350,0,0,9,0,"Block Group 5, Census Tract 1031.02, Los Angeles County, California",CA,null,null,103102
15000US060371032001,150,150,6,37,1,2107,2107,1690,47,0,96,0,200,74,0,"Block Group 1, Census Tract 1032, Los Angeles County, California",CA,null,null,103200
15000US060371032002,150,150,6,37,2,2074,2074,1681,78,0,244,0,52,19,0,"Block Group 2, Census Tract 1032, Los Angeles County, California",CA,null,null,103200
15000US060371032003,150,150,6,37,3,1852,1852,1297,48,0,201,0,249,57,0,"Block Group 3, Census Tract 1032, Los Angeles County, California",CA,null,null,103200
