GEOID,SUMLEVEL,ST,COUNTY,BLKGRP,Total,Male,MaleUnder5Yrs,Male5to9Yrs,Male10to14Yrs,Male15to17Yrs,Male18to19Yrs,Male20Yrs,Male21Yrs,Male22to24Yrs,Male25to29Yrs,Male30to34Yrs,Male35to39Yrs,Male40to44Yrs,Male45to49Yrs,Male50to54Yrs,Male55to59Yrs,Male60to61Yrs,Male62to64Yrs,Male65to66Yrs,Male67to69Yrs,Male70to74Yrs,Male75to79Yrs,Male80to84Yrs,Male85YrsOrOver,Female,FemaleUnder5Yrs,Female5to9Yrs,Female10to14Yrs,Female15to17Yrs,Female18to19Yrs,Female20Yrs,Female21Yrs,Female22to24Yrs,Female25to29Yrs,Female30to34Yrs,Female35to39Yrs,Female40to44Yrs,Female45to49Yrs,Female50to54Yrs,Female55to59Yrs,Female60to61Yrs,Female62to64Yrs,Female65to66Yrs,Female67to69Yrs,Female70to74Yrs,Female75to79Yrs,Female80to84Yrs,Female85YrsOrOver,COMPONENT,TRACT
15000US060375714003,150,6,37,3,681,414,0,33,0,33,0,0,0,29,77,25,0,45,9,43,28,29,9,25,0,0,29,0,0,267,0,38,24,8,0,0,0,0,26,0,25,32,9,9,8,12,39,6,0,0,0,31,0,0,571400
15000US060375714004,150,6,37,4,1495,634,32,10,65,0,55,5,17,0,14,22,62,31,124,89,39,0,0,0,39,7,0,5,18,861,56,127,62,13,55,20,5,7,20,8,94,47,105,30,54,13,22,21,22,6,21,43,10,0,571400
15000US060375714005,150,6,37,5,908,500,50,52,46,11,0,0,0,19,0,76,32,13,45,50,14,14,7,6,0,12,41,12,0,408,0,10,4,12,9,22,9,28,30,18,0,19,55,47,25,24,7,0,0,37,16,24,12,0,571400
15000US060375715021,150,6,37,1,1506,634,52,72,103,17,0,0,0,16,105,51,30,77,7,7,13,12,10,13,8,21,0,20,0,872,71,47,139,20,21,11,10,22,28,114,40,55,11,119,17,15,23,11,0,35,17,45,1,0,571502
15000US060375715022,150,6,37,2,1001,572,36,10,0,30,0,11,52,19,21,64,5,0,72,91,49,9,54,0,0,16,11,0,22,429,0,0,51,0,0,0,30,0,60,39,0,8,39,75,15,19,9,0,27,17,7,17,16,0,571502
15000US060375715023,150,6,37,3,1449,618,11,117,33,22,15,0,0,18,97,26,16,76,70,18,24,28,0,9,8,17,6,7,0,831,24,18,94,31,0,0,57,51,52,116,32,101,61,56,76,0,16,9,6,8,0,11,12,0,571502
15000US060375715024,150,6,37,4,662,359,5,23,41,9,18,0,0,0,36,20,0,40,23,0,0,18,31,7,43,20,18,7,0,303,0,0,30,17,6,0,0,0,6,14,25,7,17,41,17,25,16,8,19,16,14,9,16,0,571502
15000US060375715031,150,6,37,1,2467,1037,34,83,31,24,21,30,5,93,85,66,36,28,142,59,97,18,40,0,95,0,33,0,17,1430,153,170,45,123,29,13,37,44,75,113,59,102,98,54,121,0,14,0,90,19,23,22,26,0,571503
15000US060375715032,150,6,37,2,1043,523,0,22,0,20,21,0,12,0,53,74,19,43,20,36,79,0,60,28,13,14,9,0,0,520,30,10,41,18,0,0,0,26,18,32,12,21,42,90,67,0,26,32,0,0,29,0,26,0,571503
15000US060375715041,150,6,37,1,1436,638,36,29,45,0,20,20,0,0,15,72,53,105,108,0,53,0,10,0,0,72,0,0,0,798,80,70,77,78,35,34,0,24,28,45,55,11,33,29,42,29,23,0,0,69,0,36,0,0,571504
